time,flow,flow_channel,dni,dni_channel,ghi1,ghi1_channel,ghi2,ghi2_channel,radout,radout_channel,radin,radin_channel,bldgin,bldgin_channel,bldout,bldout_channel,HXin,HXin_channel,HXout,HXout_channel,TC1,TC1_channel,TC2,TC2_channel,TC3,TC3_channel,TC4,TC4_channel,TC5,TC5_channel,TC6,TC6_channel,TC7,TC7_channel,TC8,TC8_channel,TC9,TC9_channel
15:49:04,+5.99765210E+01,"HZ,105,0",-2.01910870E-02,"VDC,106,0",+7.14120600E-03,"VDC,108,0",-3.26019740E-02,"VDC,110,0",+2.00400000E+01,"C,202,0",+2.06890000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.51670000E+01,"C,206,0",+3.80200000E+01,"C,207,0",-9.9e+37,"C,212,0",-8.56920000E+01,"C,213,0",+1.16671000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",140.604,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
15:49:07,+5.99909990E+01,"HZ,105,0",-2.15807690E-02,"VDC,106,0",+7.11068900E-03,"VDC,108,0",-3.30417200E-02,"VDC,110,0",+2.00370000E+01,"C,202,0",+2.06650000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.61460000E+01,"C,206,0",+3.79280000E+01,"C,207,0",-9.9e+37,"C,212,0",-4.81200000E+00,"C,213,0",+1.43313000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",101.8,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
15:49:11,+5.99451040E+01,"HZ,105,0",-2.07284350E-02,"VDC,106,0",+7.07775100E-03,"VDC,108,0",-3.20054730E-02,"VDC,110,0",+2.00230000E+01,"C,202,0",+2.06850000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.60300000E+01,"C,206,0",+3.78790000E+01,"C,207,0",-9.9e+37,"C,212,0",-2.82760000E+01,"C,213,0",+1.31255000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",126.051,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
15:49:14,+5.99181650E+01,"HZ,105,0",-2.11170930E-02,"VDC,106,0",+7.03795800E-03,"VDC,108,0",-3.37038240E-02,"VDC,110,0",+2.00270000E+01,"C,202,0",+2.06850000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.58310000E+01,"C,206,0",+3.78720000E+01,"C,207,0",-9.9e+37,"C,212,0",-2.19710000E+01,"C,213,0",+1.93104000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",137.432,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
15:49:18,+6.00065990E+01,"HZ,105,0",-2.08046610E-02,"VDC,106,0",+7.00408000E-03,"VDC,108,0",-3.30332510E-02,"VDC,110,0",+2.00300000E+01,"C,202,0",+2.06720000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.61330000E+01,"C,206,0",+3.78590000E+01,"C,207,0",-9.9e+37,"C,212,0",-3.81600000E+01,"C,213,0",+1.40870000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",153.636,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
15:49:21,+6.00151740E+01,"HZ,105,0",-2.03919370E-02,"VDC,106,0",+6.96455500E-03,"VDC,108,0",-3.23872760E-02,"VDC,110,0",+2.00300000E+01,"C,202,0",+2.06690000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.59870000E+01,"C,206,0",+3.78260000E+01,"C,207,0",-9.9e+37,"C,212,0",-5.52600000E+00,"C,213,0",+1.46629000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",176.929,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
15:49:25,+5.99371480E+01,"HZ,105,0",-2.15140880E-02,"VDC,106,0",+6.92664300E-03,"VDC,108,0",-3.31889290E-02,"VDC,110,0",+2.00230000E+01,"C,202,0",+2.06920000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.61590000E+01,"C,206,0",+3.78230000E+01,"C,207,0",-9.9e+37,"C,212,0",-3.15420000E+01,"C,213,0",+1.70161000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",135.966,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
15:49:28,+5.99687280E+01,"HZ,105,0",-2.05045960E-02,"VDC,106,0",+6.89276500E-03,"VDC,108,0",-3.16525740E-02,"VDC,110,0",+2.00160000E+01,"C,202,0",+2.06820000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.51370000E+01,"C,206,0",+3.78530000E+01,"C,207,0",-9.9e+37,"C,212,0",-5.16740000E+01,"C,213,0",+1.71715000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",123.494,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
15:49:32,+5.99037220E+01,"HZ,105,0",-2.08234820E-02,"VDC,106,0",+6.86036600E-03,"VDC,108,0",-3.33619510E-02,"VDC,110,0",+2.00130000E+01,"C,202,0",+2.06620000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.40520000E+01,"C,206,0",+3.79410000E+01,"C,207,0",-9.9e+37,"C,212,0",-5.81460000E+01,"C,213,0",+2.38776000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",114.751,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
15:49:35,+5.99390300E+01,"HZ,105,0",-2.07559940E-02,"VDC,106,0",+6.82111000E-03,"VDC,108,0",-3.33635640E-02,"VDC,110,0",+2.00300000E+01,"C,202,0",+2.06850000E+01,"C,203,0",+9.90000000E+37,"C,204,0",+9.90000000E+37,"C,205,0",+2.34310000E+01,"C,206,0",+3.80270000E+01,"C,207,0",-9.9e+37,"C,212,0",-3.80920000E+01,"C,213,0",+1.73878000E+02,"C,214,0",-9.90000000E+37,"C,215,0",-9.90000000E+37,"C,216,0",172.001,"C,217,0",-9.90000000E+37,"C,218,0",-9.90000000E+37,"C,219,0",-9.90000000E+37,"C,220,0"
